from_regime,to_regime,n_events,n_pre_trades,n_post_trades,pf_pre,pf_post,delta_pf,recovery_bars,degrades,asset,hypothesis
TRENDING,LOW_VOLATILITY,165,96,44,1.952,1.083,-0.8684,4.6,True,BTC,MR_EMA_Dist
TRENDING,MEAN_REVERTING,88,77,64,0.976,0.82,-0.1559,4.4,True,BTC,MR_EMA_Dist
MEAN_REVERTING,TRENDING,87,55,83,0.791,1.05,0.259,6.8,False,BTC,MR_EMA_Dist
HIGH_VOLATILITY,MEAN_REVERTING,77,102,16,1.176,1.626,0.4495,3.1,False,BTC,MR_EMA_Dist
MEAN_REVERTING,HIGH_VOLATILITY,72,24,72,0.743,1.355,0.6126,9.4,False,BTC,MR_EMA_Dist
MEAN_REVERTING,LOW_VOLATILITY,12,5,3,4.828,,,,,BTC,MR_EMA_Dist
LOW_VOLATILITY,MEAN_REVERTING,5,4,4,,,,,,BTC,MR_EMA_Dist
HIGH_VOLATILITY,TRENDING,165,81,152,1.379,1.243,-0.1361,8.4,True,PETR4,TF_EMA_Slope
TRENDING,HIGH_VOLATILITY,163,167,79,1.104,1.38,0.2766,5.6,False,PETR4,TF_EMA_Slope
TRENDING,MEAN_REVERTING,29,49,13,1.469,2.864,1.3957,6.0,False,PETR4,TF_EMA_Slope
MEAN_REVERTING,TRENDING,28,11,43,1.582,0.948,-0.6346,11.7,True,PETR4,TF_EMA_Slope
TRENDING,LOW_VOLATILITY,17,10,3,0.857,,,,,PETR4,TF_EMA_Slope
HIGH_VOLATILITY,MEAN_REVERTING,16,11,3,4.107,,,,,PETR4,TF_EMA_Slope
MEAN_REVERTING,HIGH_VOLATILITY,16,4,9,,1.615,,,,PETR4,TF_EMA_Slope
LOW_VOLATILITY,TRENDING,16,4,31,,0.945,,,,PETR4,TF_EMA_Slope
LOW_VOLATILITY,HIGH_VOLATILITY,15,3,7,,2.143,,,,PETR4,TF_EMA_Slope
HIGH_VOLATILITY,LOW_VOLATILITY,13,3,3,,,,,,PETR4,TF_EMA_Slope
MEAN_REVERTING,LOW_VOLATILITY,2,1,1,,,,,,PETR4,TF_EMA_Slope
HIGH_VOLATILITY,TRENDING,570,340,387,0.948,1.124,0.1757,7.5,False,GOLD,TF_EMA_Slope
TRENDING,HIGH_VOLATILITY,555,381,330,1.328,1.002,-0.3262,7.1,True,GOLD,TF_EMA_Slope
TRENDING,LOW_VOLATILITY,129,62,23,0.923,1.657,0.7341,4.1,False,GOLD,TF_EMA_Slope
LOW_VOLATILITY,TRENDING,122,26,97,3.03,1.754,-1.2761,7.5,True,GOLD,TF_EMA_Slope
LOW_VOLATILITY,HIGH_VOLATILITY,74,7,28,4.739,0.52,-4.2185,4.7,True,GOLD,TF_EMA_Slope
HIGH_VOLATILITY,LOW_VOLATILITY,65,22,10,1.153,5.493,4.3402,2.6,False,GOLD,TF_EMA_Slope
TRENDING,MEAN_REVERTING,64,77,22,1.035,2.407,1.3726,4.4,False,GOLD,TF_EMA_Slope
MEAN_REVERTING,TRENDING,57,28,36,1.523,1.664,0.1415,7.1,False,GOLD,TF_EMA_Slope
MEAN_REVERTING,HIGH_VOLATILITY,45,9,35,4.26,0.72,-3.5395,8.3,True,GOLD,TF_EMA_Slope
HIGH_VOLATILITY,MEAN_REVERTING,39,31,9,0.789,0.97,0.1806,2.7,False,GOLD,TF_EMA_Slope
MEAN_REVERTING,LOW_VOLATILITY,9,0,2,,,,,,GOLD,TF_EMA_Slope
LOW_VOLATILITY,MEAN_REVERTING,7,2,3,,,,,,GOLD,TF_EMA_Slope
TRENDING,HIGH_VOLATILITY,160,138,128,0.978,1.433,0.455,7.6,False,SPY,MR_BB_Stretch
HIGH_VOLATILITY,TRENDING,160,140,129,1.652,1.11,-0.5417,7.5,True,SPY,MR_BB_Stretch
TRENDING,LOW_VOLATILITY,29,31,17,0.989,0.698,-0.2916,4.8,True,SPY,MR_BB_Stretch
LOW_VOLATILITY,TRENDING,28,23,36,0.279,0.71,0.4317,9.8,False,SPY,MR_BB_Stretch
LOW_VOLATILITY,HIGH_VOLATILITY,22,4,28,,2.037,,,,SPY,MR_BB_Stretch
HIGH_VOLATILITY,LOW_VOLATILITY,17,7,6,1.729,1.056,-0.6724,4.4,True,SPY,MR_BB_Stretch
MEAN_REVERTING,TRENDING,17,21,12,1.155,0.312,-0.8425,5.5,True,SPY,MR_BB_Stretch
TRENDING,MEAN_REVERTING,15,8,14,0.768,0.983,0.2155,6.4,False,SPY,MR_BB_Stretch
HIGH_VOLATILITY,MEAN_REVERTING,13,13,9,0.607,3.093,2.4857,2.7,False,SPY,MR_BB_Stretch
MEAN_REVERTING,HIGH_VOLATILITY,8,2,4,,,,,,SPY,MR_BB_Stretch
MEAN_REVERTING,LOW_VOLATILITY,5,2,5,,0.0,,,,SPY,MR_BB_Stretch
LOW_VOLATILITY,MEAN_REVERTING,1,1,1,,,,,,SPY,MR_BB_Stretch
