key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1338,1341,4,-1770.35,2025-08-10 07:00:00+00:00,2025-08-11 01:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1346,1347,2,-884.19,2025-08-13 10:00:00+00:00,2025-08-13 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1349,1352,4,-2728.26,2025-08-13 16:00:00+00:00,2025-08-13 23:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1355,1356,2,-1549.77,2025-08-14 13:00:00+00:00,2025-08-14 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1359,1362,4,-1542.92,2025-08-17 19:00:00+00:00,2025-08-18 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1364,1368,5,-2706.3,2025-08-18 17:00:00+00:00,2025-08-19 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1377,1378,2,-1504.43,2025-08-22 15:00:00+00:00,2025-08-22 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1383,1385,3,-2157.32,2025-08-24 23:00:00+00:00,2025-08-25 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1387,1389,3,-2126.57,2025-08-25 15:00:00+00:00,2025-08-25 22:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1393,1394,2,-911.04,2025-08-29 06:00:00+00:00,2025-08-29 08:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1396,1397,2,-1222.67,2025-08-29 13:00:00+00:00,2025-08-29 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1399,1401,3,-819.46,2025-08-31 05:00:00+00:00,2025-08-31 11:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1408,1409,2,-1021.9,2025-09-02 14:00:00+00:00,2025-09-03 13:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1418,1421,4,-1108.41,2025-09-07 09:00:00+00:00,2025-09-08 11:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1426,1428,3,-1190.11,2025-09-10 08:00:00+00:00,2025-09-10 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1430,1431,2,-835.96,2025-09-11 14:00:00+00:00,2025-09-11 23:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1433,1435,3,-1029.13,2025-09-12 10:00:00+00:00,2025-09-12 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1442,1444,3,-1132.87,2025-09-16 17:00:00+00:00,2025-09-16 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1448,1451,4,-1191.73,2025-09-19 12:00:00+00:00,2025-09-19 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1456,1459,4,-1078.58,2025-09-21 09:00:00+00:00,2025-09-22 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1461,1462,2,-1036.94,2025-09-22 15:00:00+00:00,2025-09-22 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1464,1466,3,-1267.95,2025-09-23 06:00:00+00:00,2025-09-23 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1469,1470,2,-932.76,2025-09-25 05:00:00+00:00,2025-09-25 13:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1473,1478,6,-2207.16,2025-09-28 21:00:00+00:00,2025-09-29 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1481,1489,9,-4286.04,2025-09-30 14:00:00+00:00,2025-10-02 16:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1491,1496,6,-2777.38,2025-10-03 09:00:00+00:00,2025-10-05 03:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1498,1503,6,-3174.08,2025-10-05 12:00:00+00:00,2025-10-06 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1507,1508,2,-1242.62,2025-10-07 15:00:00+00:00,2025-10-07 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1516,1520,5,-5742.55,2025-10-10 16:00:00+00:00,2025-10-11 01:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1524,1527,4,-2522.09,2025-10-14 04:00:00+00:00,2025-10-14 11:00:00+00:00
