asset,category,hypothesis,group,oos_verdict,robustness,pf_degradation,period,regime,n_trades,pf,sharpe,win_rate,expectancy,max_dd
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,test,LOW_VOLATILITY,34,1.2979,0.1113,0.4412,13.1944,636.47
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,test,MEAN_REVERTING,11,1.1724,0.0672,0.5455,12.9173,470.24
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,test,TRENDING,163,1.0226,0.0097,0.4294,1.537,2553.18
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,oos,HIGH_VOLATILITY,219,0.953,-0.0211,0.3653,-3.5013,3557.6
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,oos,LOW_VOLATILITY,32,1.2478,0.1,0.4062,9.7772,383.46
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,oos,MEAN_REVERTING,18,1.6518,0.2389,0.5556,39.9878,309.99
NASDAQ,index,TF_EMA_Slope,trend_follow,FAIL,0.2917,0.0081,oos,TRENDING,228,0.9878,-0.0054,0.3816,-0.8631,1448.2
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,test,HIGH_VOLATILITY,201,0.9873,-0.0055,0.3682,-0.9788,2336.67
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,test,LOW_VOLATILITY,40,0.9627,-0.0167,0.425,-1.8707,786.49
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,test,MEAN_REVERTING,9,0.6889,-0.1539,0.4444,-28.4978,604.52
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,test,TRENDING,168,1.0254,0.0103,0.3929,1.7282,1646.23
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,oos,HIGH_VOLATILITY,213,1.0795,0.0335,0.3803,5.6986,2558.58
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,oos,LOW_VOLATILITY,37,1.0482,0.0216,0.3784,2.0516,570.74
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,oos,MEAN_REVERTING,20,0.7918,-0.0987,0.35,-20.2235,1199.87
NASDAQ,index,TF_Momentum,trend_follow,FAIL,0.2873,-0.0034,oos,TRENDING,227,0.9196,-0.0379,0.37,-5.635,2106.37
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,test,HIGH_VOLATILITY,143,0.9114,-0.0395,0.3636,-7.0867,1836.28
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,test,LOW_VOLATILITY,35,1.3552,0.1208,0.4286,14.0754,385.8
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,test,MEAN_REVERTING,5,1.5023,0.1603,0.8,41.742,415.53
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,test,TRENDING,139,0.9266,-0.0316,0.3741,-5.0164,1259.95
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,oos,HIGH_VOLATILITY,152,1.0234,0.0099,0.3882,1.6669,2138.16
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,oos,LOW_VOLATILITY,45,1.0578,0.0252,0.3556,2.486,642.49
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,oos,MEAN_REVERTING,14,0.82,-0.0807,0.4286,-16.0414,688.71
NASDAQ,index,TF_Breakout_20,trend_follow,FAIL,0.1602,0.0821,oos,TRENDING,168,1.0643,0.0281,0.3988,4.27,1660.74
NASDAQ,index,VOL_ATR_Expand,volatility,PASS,0.8761,-0.4192,test,HIGH_VOLATILITY,52,1.8883,0.2416,0.4615,51.025,901.2
NASDAQ,index,VOL_ATR_Expand,volatility,PASS,0.8761,-0.4192,oos,HIGH_VOLATILITY,70,1.0968,0.0409,0.4143,6.0803,1898.83
NASDAQ,index,VOL_Range_Bkout,volatility,OOS_PASS,0.4548,-0.0704,test,HIGH_VOLATILITY,89,1.1245,0.0467,0.3034,4.7296,465.78
NASDAQ,index,VOL_Range_Bkout,volatility,OOS_PASS,0.4548,-0.0704,test,LOW_VOLATILITY,133,1.1911,0.0726,0.3308,6.21,514.75
NASDAQ,index,VOL_Range_Bkout,volatility,OOS_PASS,0.4548,-0.0704,oos,HIGH_VOLATILITY,96,1.0628,0.0252,0.3021,2.2082,1114.01
NASDAQ,index,VOL_Range_Bkout,volatility,OOS_PASS,0.4548,-0.0704,oos,LOW_VOLATILITY,153,1.091,0.0371,0.3072,3.1166,777.03
ITUB4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,0.2537,0.1314,test,HIGH_VOLATILITY,42,0.6424,-0.1993,0.2381,-6.2955,499.82
ITUB4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,0.2537,0.1314,test,LOW_VOLATILITY,7,0.1944,-0.8259,0.1429,-14.41,125.21
ITUB4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,0.2537,0.1314,test,MEAN_REVERTING,8,1.9492,0.2942,0.5,10.495,88.45
ITUB4,brazil_equity,MR_BB_Stretch,mean_reversion,FAIL,0.2537,0.1314,test,TRENDING,70,1.0401,0.0183,0.3571,0.5319,211.27
